idhod,hodnota,vuk,vuk_text,stapro_kod,vuzemi_cis,vuzemi_kod,rok,casref_od,casref_do,vuzemi_txt
967558924,10,DEM0007,Živě narození,4355,43,571792,2021,2021-01-01,2021-12-31,Kozomín
967558938,1,DEM0007,Živě narození,4355,43,571857,2021,2021-01-01,2021-12-31,Mladoňovice
967559949,1,DEM0007,Živě narození,4355,43,575151,2021,2021-01-01,2021-12-31,Kasalice
967559469,4,DEM0007,Živě narození,4355,43,573566,2021,2021-01-01,2021-12-31,Bělá
967560776,0,DEM0007,Živě narození,4355,43,578517,2021,2021-01-01,2021-12-31,Domoraz
967560785,2,DEM0007,Živě narození,4355,43,578541,2021,2021-01-01,2021-12-31,Jarov
967561707,14,DEM0007,Živě narození,4355,43,582158,2021,2021-01-01,2021-12-31,Olešnice
967561708,7,DEM0007,Živě narození,4355,43,582166,2021,2021-01-01,2021-12-31,Olomučany
967562035,3,DEM0007,Živě narození,4355,43,583375,2021,2021-01-01,2021-12-31,Mělčany
967563317,0,DEM0007,Živě narození,4355,43,587877,2021,2021-01-01,2021-12-31,Sedlatice
967563326,1,DEM0007,Živě narození,4355,43,587893,2021,2021-01-01,2021-12-31,Velké Tresné
967563337,13,DEM0007,Živě narození,4355,43,587931,2021,2021-01-01,2021-12-31,Stonařov
967563354,3,DEM0007,Živě narození,4355,43,588008,2021,2021-01-01,2021-12-31,Šimanov
967563361,58,DEM0007,Živě narození,4355,43,588024,2021,2021-01-01,2021-12-31,Telč
967564271,1,DEM0007,Živě narození,4355,43,591327,2021,2021-01-01,2021-12-31,Oponešice
967565555,0,DEM0007,Živě narození,4355,43,596132,2021,2021-01-01,2021-12-31,Mirošov
967565578,17,DEM0007,Živě narození,4355,43,596221,2021,2021-01-01,2021-12-31,Nová Ves u Nového Města na Moravě
967569047,123,DEM0007,Živě narození,4355,43,530883,2021,2021-01-01,2021-12-31,Vlašim
967566183,1,DEM0007,Živě narození,4355,43,598704,2021,2021-01-01,2021-12-31,Čížkov
967567484,313,DEM0007,Živě narození,4355,65,7205,2021,2021-01-01,2021-12-31,Otrokovice
967567494,966,DEM0007,Živě narození,4355,65,7207,2021,2021-01-01,2021-12-31,Uherské Hradiště
967567499,549,DEM0007,Živě narození,4355,65,7208,2021,2021-01-01,2021-12-31,Uherský Brod
967567521,1031,DEM0007,Živě narození,4355,65,7213,2021,2021-01-01,2021-12-31,Zlín
967567522,250,DEM0007,Živě narození,4355,65,8101,2021,2021-01-01,2021-12-31,Bílovec
967499987,3,DEM0007,Živě narození,4355,43,591246,2021,2021-01-01,2021-12-31,Nová Ves
967497315,6,DEM0007,Živě narození,4355,43,581828,2021,2021-01-01,2021-12-31,Křtiny
967498279,6,DEM0007,Živě narození,4355,43,585254,2021,2021-01-01,2021-12-31,Hostišová
967498283,7,DEM0007,Živě narození,4355,43,585262,2021,2021-01-01,2021-12-31,Hrobice
967499529,9,DEM0007,Živě narození,4355,43,589608,2021,2021-01-01,2021-12-31,Klenovice na Hané
967500810,5,DEM0007,Živě narození,4355,43,594270,2021,2021-01-01,2021-12-31,Krhovice
967500832,2,DEM0007,Živě narození,4355,43,594342,2021,2021-01-01,2021-12-31,Lesná
967497829,4,DEM0007,Živě narození,4355,43,583804,2021,2021-01-01,2021-12-31,Rudka
967504270,4,DEM0007,Živě narození,4355,43,526622,2021,2021-01-01,2021-12-31,Rohozec
967504286,3,DEM0007,Živě narození,4355,43,529478,2021,2021-01-01,2021-12-31,Čakov
967504304,4,DEM0007,Živě narození,4355,43,529559,2021,2021-01-01,2021-12-31,Dobrovítov
967501159,6,DEM0007,Živě narození,4355,43,595535,2021,2021-01-01,2021-12-31,Dolní Rožínka
967501463,5,DEM0007,Živě narození,4355,43,596647,2021,2021-01-01,2021-12-31,Rozsochy
967501465,12,DEM0007,Živě narození,4355,43,596655,2021,2021-01-01,2021-12-31,Rožná
967501476,7,DEM0007,Živě narození,4355,43,596680,2021,2021-01-01,2021-12-31,Řečice
967503755,12,DEM0007,Živě narození,4355,43,510432,2021,2021-01-01,2021-12-31,Šilheřovice
967509060,46,DEM0007,Živě narození,4355,43,546089,2021,2021-01-01,2021-12-31,České Velenice
967506353,2,DEM0007,Živě narození,4355,43,535966,2021,2021-01-01,2021-12-31,Jabkenice
967506360,2,DEM0007,Živě narození,4355,43,535982,2021,2021-01-01,2021-12-31,Kamenná
967506379,1,DEM0007,Živě narození,4355,43,536059,2021,2021-01-01,2021-12-31,Břehov
967508584,29,DEM0007,Živě narození,4355,43,544370,2021,2021-01-01,2021-12-31,Lidečko
967508588,13,DEM0007,Živě narození,4355,43,544396,2021,2021-01-01,2021-12-31,Liptál
967508613,28,DEM0007,Živě narození,4355,43,544477,2021,2021-01-01,2021-12-31,Stráž nad Nisou
967508618,26,DEM0007,Živě narození,4355,43,544493,2021,2021-01-01,2021-12-31,Homole
967505908,4,DEM0007,Živě narození,4355,43,534536,2021,2021-01-01,2021-12-31,Vidice
967505914,6,DEM0007,Živě narození,4355,43,534561,2021,2021-01-01,2021-12-31,Vlastějovice
967505936,6,DEM0007,Živě narození,4355,43,534625,2021,2021-01-01,2021-12-31,Zbýšov
967506911,4,DEM0007,Živě narození,4355,43,537616,2021,2021-01-01,2021-12-31,Oskořínek
967506921,52,DEM0007,Živě narození,4355,43,537641,2021,2021-01-01,2021-12-31,Pečky
967506932,10,DEM0007,Živě narození,4355,43,537675,2021,2021-01-01,2021-12-31,Pňov-Předhradí
967509234,2,DEM0007,Živě narození,4355,43,546852,2021,2021-01-01,2021-12-31,Černěves
967509249,0,DEM0007,Živě narození,4355,43,546895,2021,2021-01-01,2021-12-31,Brodec
967509285,5,DEM0007,Živě narození,4355,43,547000,2021,2021-01-01,2021-12-31,Životice u Nového Jičína
967511560,4,DEM0007,Živě narození,4355,43,554847,2021,2021-01-01,2021-12-31,Mrákotín
967511578,13,DEM0007,Živě narození,4355,43,554880,2021,2021-01-01,2021-12-31,Tři Sekery
967512670,3,DEM0007,Živě narození,4355,43,560677,2021,2021-01-01,2021-12-31,Šindelová
967512678,5,DEM0007,Živě narození,4355,43,560707,2021,2021-01-01,2021-12-31,Vřesová
967510131,5,DEM0007,Živě narození,4355,43,549851,2021,2021-01-01,2021-12-31,Skály
967515396,28,DEM0007,Živě narození,4355,43,569780,2021,2021-01-01,2021-12-31,Ždírec nad Doubravou
967515400,5,DEM0007,Živě narození,4355,43,569798,2021,2021-01-01,2021-12-31,Horní Loděnice
967515410,2,DEM0007,Živě narození,4355,43,569828,2021,2021-01-01,2021-12-31,Babice
967516691,3,DEM0007,Živě narození,4355,43,573876,2021,2021-01-01,2021-12-31,Zderaz
967516702,1,DEM0007,Živě narození,4355,43,573906,2021,2021-01-01,2021-12-31,Borová
967513704,4,DEM0007,Živě narození,4355,43,564079,2021,2021-01-01,2021-12-31,Horní Řasnice
967513709,3,DEM0007,Živě narození,4355,43,564087,2021,2021-01-01,2021-12-31,Poštovice
967515003,7,DEM0007,Živě narození,4355,43,568554,2021,2021-01-01,2021-12-31,Rybí
